"team_id","team_name"
1,"Bay Bulls"
2,"Lions XI"
3,"Mavericks"
4,"Spinners"
5,"Svs"
6,"Warriors"
48,"Berkeley Prime"
49,"Marin CC  II"
50,"Spartan CC  1"
51,"United CC"
52,"Bay Area CC"
53,"Berkeley Prime"
54,"Cougars CC  2"
55,"Fresno CC  1"
56,"Marin CC  II"
57,"Seamers"
58,"Spartan CC  1"
59,"Tracy CC"
60,"Uc Jaguars"
61,"United CC"
62,"All Stars CC"
63,"Bay Area CC"
64,"Berkeley Prime"
65,"Cougars CC  2"
66,"Indus Conquest"
67,"Marin CC  II"
68,"Sccc Seas  3"
69,"Sj Panthers  2"
70,"Spartan CC  1"
71,"Tracy CC"
72,"Uc CAvaliers"
73,"Uc Jaguars"
74,"United CCd Ncca"
75,"United CC"
76,"Berkeley Prime"
77,"Cardinals Hollywood CC  1"
78,"Central Valley CC  1"
79,"Cougars CC  1"
80,"Davis CC  1"
81,"Marin CC  I"
82,"Sccc Aces  1"
83,"Sj Panthers  1"
84,"Sunnyvale Blazers"
85,"Uc CAvaliers"
86,"Bay Area CC"
87,"Berkeley Prime"
88,"Indus Conquest"
89,"Marin CC  II"
90,"Sj Panthers  1"
91,"Spartan CC  1"
92,"Stanford  2"
93,"Stanford A  2"
94,"Sunnyvale Blazers"
95,"Sunnyvale Comets"
96,"Tracy CC"
97,"United CC"
98,"Central Valley CC  1"
99,"Cougars CC  1"
100,"Davis CC  1"
101,"Marin CC  I"
102,"Sccc Aces  1"
103,"Stanford  1"
104,"Stanford A  1"
105,"Tracy United CC  1"
106,"Uc Warriors  1"
107,"Cardinals Hollywood CC  1"
108,"Central Valley CC  1"
109,"Cougars CC  1"
110,"Davis CC  1"
111,"Indus Avengers"
112,"Marin CC  I"
113,"Sccc  Bees  2"
114,"Sccc Aces  1"
115,"Stanford  1"
116,"Stanford A  1"
117,"Sunnyvale Asteroids"
118,"Tracy United CC  1"
119,"Uc CAvaliers"
120,"Uc Warriors  1"
